# BEGIN interval_us=1000 steps=247500 dir=1 micro=32 accbits=13 preroll=2000
step,adc
001951,04071
001952,04071
001953,04070
001954,04070
001955,04071
001956,04071
001957,04074
001958,04074
001959,04071
001960,04070
001961,04070
001962,04070
001963,04073
001964,04074
001965,04071
001966,04070
001967,04071
001968,04072
001969,04069
001970,04070
001971,04071
001972,04076
001973,04070
001974,04072
001975,04072
001976,04074
001977,04072
001978,04072
001979,04069
001980,04071
001981,04070
001982,04071
001983,04071
001984,04074
001985,04070
001986,04074
001987,04072
001988,04071
001989,04069
001990,04073
001991,04071
001992,04072
001993,04071
001994,04067
001995,04071
001996,04071
001997,04067
001998,04070
001999,04071
002000,04071
002001,04071
002002,04073
002003,04070
002004,04071
002005,04071
002006,04065
002007,04070
002008,04069
002009,04070
002010,04072
002011,04070
002012,04070
002013,04070
002014,04070
002015,04071
002016,04073
002017,04071
002018,04072
002019,04073
002020,04071
002021,04070
002022,04065
002023,04070
002024,04072
002025,04070
002026,04069
002027,04071
002028,04071
002029,04070
002030,04072
002031,04070
002032,04071
002033,04071
002034,04071
002035,04072
002036,04070
002037,04070
002038,04070
002039,04071
002040,04070
002041,04072
002042,04071
002043,04071
002044,04070
002045,04070
002046,04070
002047,04069
002048,04071
002049,04071
002050,04072
002051,04070
002052,04071
002053,04071
002054,04069
002055,04070
002056,04072
002057,04071
002058,04072
002059,04071
002060,04071
002061,04069
002062,04073
002063,04071
002064,04071
002065,04070
002066,04072
002067,04071
002068,04072
002069,04071
002070,04070
002071,04073
002072,04072
002073,04072
002074,04070
002075,04075
002076,04070
002077,04072
002078,04071
002079,04073
002080,04066
002081,04070
002082,04070
002083,04070
002084,04070
002085,04073
002086,04072
002087,04070
002088,04072
002089,04067
002090,04071
002091,04072
002092,04071
002093,04069
002094,04070
002095,04073
002096,04070
002097,04069
002098,04070
002099,04072
002100,04069
002101,04072
002102,04071
002103,04068
002104,04070
002105,04070
002106,04072
002107,04071
002108,04071
002109,04071
002110,04069
002111,04068
002112,04070
002113,04074
002114,04069
002115,04070
002116,04072
002117,04072
002118,04069
002119,04072
002120,04069
002121,04072
002122,04068
002123,04070
002124,04072
002125,04070
002126,04071
002127,04067
002128,04071
002129,04071
002130,04070
002131,04069
002132,04072
002133,04070
002134,04072
002135,04071
002136,04067
002137,04069
002138,04069
002139,04075
002140,04070
002141,04071
002142,04071
002143,04072
002144,04070
002145,04071
002146,04071
002147,04070
002148,04072
002149,04071
002150,04069
002151,04072
002152,04071
002153,04071
002154,04069
002155,04072
002156,04072
002157,04071
002158,04071
002159,04071
002160,04071
002161,04072
002162,04070
002163,04071
002164,04070
002165,04071
002166,04069
002167,04073
002168,04070
002169,04071
002170,04073
002171,04071
002172,04071
002173,04070
002174,04072
002175,04072
002176,04069
002177,04074
002178,04072
002179,04070
002180,04071
002181,04071
002182,04065
002183,04071
002184,04068
002185,04071
002186,04072
002187,04071
002188,04073
002189,04070
002190,04071
002191,04068
002192,04070
002193,04069
002194,04070
002195,04070
002196,04070
002197,04070
002198,04071
002199,04071
002200,04069
002201,04070
002202,04070
002203,04071
002204,04071
002205,04075
002206,04071
002207,04072
002208,04070
002209,04070
002210,04072
002211,04070
002212,04071
002213,04070
002214,04071
002215,04073
002216,04072
002217,04070
002218,04071
002219,04073
002220,04076
002221,04071
002222,04070
002223,04074
002224,04072
002225,04070
002226,04071
002227,04073
002228,04072
002229,04069
002230,04072
002231,04072
002232,04072
002233,04070
002234,04072
002235,04070
002236,04075
002237,04070
002238,04073
002239,04071
002240,04073
002241,04075
002242,04069
002243,04074
002244,04066
002245,04071
002246,04070
002247,04073
002248,04074
002249,04071
002250,04071
002251,04073
002252,04071
002253,04071
002254,04071
002255,04072
002256,04071
002257,04072
002258,04071
002259,04071
002260,04071
002261,04069
002262,04071
002263,04073
002264,04070
002265,04070
002266,04070
002267,04070
002268,04070
002269,04074
002270,04070
002271,04070
002272,04072
002273,04070
002274,04073
002275,04072
002276,04071
002277,04071
002278,04071
002279,04072
002280,04073
002281,04071
002282,04072
002283,04072
002284,04069
002285,04068
002286,04068
002287,04067
002288,04075
002289,04073
002290,04072
002291,04072
002292,04072
